NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Baldwin County, Alabama",42.5,45,94164,2074,8241,11573,13942,10718,5871,16405,3698,7460,6855,4836,2491,38802,83501,44921,2246,8187,23304,4843,85527,21191,48391,2502,13443,94079,19884,52256,9890,12049,1339,1188,21349,16439,5507,986,368,22664,15771,7091,598,214740,195535,19205,56813,83501,6640,0.4725,32704,42.2,36.2,176222,102800,116632,63010,20491,5.8,831,941,6058,9803,Alabama,BALDWIN
"Calhoun County, Alabama",38.6,41.4,47141,1554,5021,5371,10137,6546,1279,7245,1168,1161,3502,2868,1289,18502,44264,20497,2819,6794,12125,2029,44590,14706,22726,1494,5664,49419,12718,23908,5451,7342,1871,410,13993,3301,1536,607,529,11768,4613,2921,521,111061,88309,22752,45818,44264,8270,0.465,24493,43.3,37.1,93284,49415,53888,31036,13228,5.8,534,727,5496,9067,Alabama,CALHOUN
"Cullman County, Alabama",38.8,42.1,35071,1737,4580,6025,5088,4687,1862,2899,84,489,2845,3522,1253,15410,30323,16778,1680,3129,6714,2022,33209,8598,19065,1427,4119,34880,6434,19699,4194,4553,966,386,9376,2681,342,261,391,8773,2235,1092,44,82209,70382,11827,44612,30323,3793,0.4981,25874,41.3,36,66680,35876,38029,22760,7563,5.6,433,607,4054,5437,Alabama,CULLMAN
"DeKalb County, Alabama",38.8,40.5,27784,355,2194,4723,4521,4767,1138,4911,828,1227,1043,1403,674,14352,26462,15102,1417,2629,6689,625,27582,7879,16538,998,2167,29842,6292,16472,3832,3246,1344,932,7420,1608,1189,170,228,6913,2323,1323,92,70157,54226,15931,36998,26462,4900,0.5003,21822,41.4,36.55,57239,29616,31656,19171,7291,5.7,435,604,3787,5044,Alabama,DEKALB
"Elmore County, Alabama",36.8,41.2,33273,1292,2012,2676,3850,5234,2877,6841,2092,701,3905,1257,536,16924,30155,17010,1868,3225,7121,931,31913,9895,17021,1438,3559,35261,8133,19755,3602,3771,1532,173,9400,4617,1461,131,257,9057,5529,1607,435,77240,69864,7376,60796,30155,2920,0.4162,26128,43.2,38.8,65407,34265,34416,22169,7986,6.1,621,871,4035,4969,Alabama,ELMORE
"Etowah County, Alabama",38.9,42.8,42518,1598,3802,7966,8634,5962,3357,3420,671,958,2813,1929,1408,17699,38625,18548,1320,6451,10201,2105,39818,12449,21026,1409,4934,44182,10998,20518,6180,6486,1862,118,12482,3823,1367,87,166,11235,4853,2714,315,100867,83565,17302,45868,38625,4841,0.4469,26192,41.8,37.2,82575,44172,47847,27383,11242,5.9,492,648,4584,6118,Alabama,ETOWAH
"Houston County, Alabama",38.1,42.4,42971,651,3841,7448,8756,8765,2494,6681,717,646,1592,989,391,20784,38861,17935,1346,5721,12116,1743,39984,13485,20532,1233,4734,44986,12757,20973,4655,6601,1272,518,10971,4712,1700,223,423,12128,4871,2376,180,103515,86571,16944,48105,38861,4781,0.4769,26994,41.2,36.2,83421,44812,47805,26166,12695,5.6,555,725,7046,9277,Alabama,HOUSTON
"Jefferson County, Alabama",36.2,40.1,282141,4802,18978,34758,53677,51841,22180,46912,9035,8635,18174,9956,3193,119692,255940,107628,11808,39679,82731,14094,248477,89549,121766,7447,29715,285754,93288,126732,25557,40177,10199,1197,59931,41693,12738,3924,2514,60358,53001,21912,3304,643119,540303,102816,55206,255940,34403,0.4952,31683,41.4,37.8,527740,298525,309579,161306,94634,5.7,687,916,27836,34788,Alabama,JEFFERSON
"Lauderdale County, Alabama",37.8,44.4,41808,738,5362,6497,9024,5551,2271,3883,1431,752,3148,2555,596,15995,38670,21003,1812,4325,9599,1931,37459,10261,21963,970,4265,40092,8799,22464,4318,4511,1542,315,13207,4307,1661,480,172,11882,5455,2454,437,90384,78485,11899,49014,38670,4277,0.4775,29063,41.8,36.6,76012,42960,45468,25516,13154,5.8,435,621,5497,7495,Alabama,LAUDERDALE
"Lee County, Alabama",30.5,33.1,70315,1011,7068,11344,16147,11682,3963,8265,2161,1219,5307,1205,943,31323,59336,27744,2082,7488,17471,4551,64991,27071,31081,1907,4932,69175,24134,32246,3708,9087,1606,515,10949,8814,4271,1285,504,11266,10908,5253,786,157870,125803,32067,46456,59336,5940,0.539,27874,39.2,33.8,132509,73544,70372,36498,22838,5.6,645,842,4383,6600,Alabama,LEE
"Limestone County, Alabama",37.6,40.7,39660,316,2624,5295,5200,4570,3851,6974,2348,2485,4011,1206,780,18354,32333,18186,1046,3774,7628,1699,38793,11949,22580,488,3776,39076,8839,19582,4889,5766,338,785,10189,6663,2840,226,493,9330,5975,2505,59,93095,82619,10476,67000,32333,3017,0.4149,28132,41.4,36.55,76535,41425,36535,25568,6765,5.9,502,715,2885,4677,Alabama,LIMESTONE
"Madison County, Alabama",37,40.6,168612,1877,14395,22528,35205,37429,13115,25007,3806,4361,7714,1838,1337,72333,152723,73785,6385,17372,46912,8269,145361,49356,77580,3025,15400,155204,42087,81191,12401,19525,4421,629,22688,33188,17659,3220,837,27821,34789,14888,2178,357121,313823,43298,63111,152723,16494,0.4643,35822,41.1,35.7,296893,176976,164263,99434,53289,6.2,706,937,10393,14724,Alabama,MADISON
"Marshall County, Alabama",37,40.5,38143,2812,5197,6010,4980,4529,811,3705,1349,1861,3537,2312,1040,20862,36022,17683,1000,5428,10238,1673,37259,11427,20248,1042,4542,38788,9172,18944,5124,5548,1247,701,9655,4950,1289,353,412,10140,4366,2664,91,94435,75885,18550,47528,36022,4363,0.4746,24988,42.1,37.1,74664,40540,40812,25544,10478,5.9,507,653,4039,5597,Alabama,MARSHALL
"Mobile County, Alabama",36,39.8,162932,3312,13943,15646,31296,28591,11504,29435,4625,5099,10425,6457,2599,83833,158627,64352,8293,27508,52001,6473,156218,61286,71685,4732,18515,177735,56700,75407,19098,26530,5926,1221,49969,17328,5111,1243,1501,47111,23811,10703,1090,406968,322515,84453,43061,158627,27318,0.4805,24663,40.6,36.8,328844,171487,184687,95186,63441,5.6,633,797,18821,29155,Alabama,MOBILE
"Montgomery County, Alabama",34.9,38.9,93355,1593,8508,18496,20544,18198,5913,10126,1016,1027,4476,1926,1532,42354,87553,32915,3863,17471,29277,4027,84122,34319,37286,2134,10383,97808,39119,37188,8393,13108,3155,601,21053,11604,5664,1520,1314,20095,14695,9731,450,218245,174941,43304,49989,87553,16192,0.5179,29809,41.4,37,179561,97362,105170,49547,38006,5.6,661,865,10073,13386,Alabama,MONTGOMERY
"Morgan County, Alabama",39,42.8,51071,1697,6540,7657,8005,7364,2721,7165,1607,1808,4563,1155,789,22002,45851,25649,1943,5035,12005,1219,47153,13901,27586,1032,4634,49547,10145,28394,5418,5590,1001,416,10694,7461,1694,465,873,12692,6976,3057,58,117592,103626,13966,53260,45851,4738,0.4455,27742,41.3,36.5,95485,53742,52284,32658,13193,6,536,669,6289,6838,Alabama,MORGAN
