county,state_name,month,days_of_rain,lowCelsius
Baldwin,Alabama,May,6,17
Baldwin,Alabama,June,9,21
Baldwin,Alabama,July,11,22
Baldwin,Alabama,August,11,22
Baldwin,Alabama,January,8,4
Baldwin,Alabama,February,6,5
Baldwin,Alabama,March,7,9
Baldwin,Alabama,April,5,12
Baldwin,Alabama,septiembre,8,19
Baldwin,Alabama,October,4,13
Baldwin,Alabama,November,5,8
Baldwin,Alabama,December,6,5
Calhoun,Alabama,May,8,15
Calhoun,Alabama,June,7,19
Calhoun,Alabama,July,9,21
Calhoun,Alabama,August,6,21
Calhoun,Alabama,January,8,1
Calhoun,Alabama,February,8,2
Calhoun,Alabama,March,9,6
Calhoun,Alabama,April,7,10
Calhoun,Alabama,septiembre,5,17
Calhoun,Alabama,October,5,11
Calhoun,Alabama,November,7,5
Calhoun,Alabama,December,8,2
Cullman,Alabama,May,8,13
Cullman,Alabama,June,7,18
Cullman,Alabama,July,9,20
Cullman,Alabama,August,7,20
Cullman,Alabama,January,7,-1
Cullman,Alabama,February,9,1
Cullman,Alabama,March,9,5
Cullman,Alabama,April,7,8
Cullman,Alabama,septiembre,5,16
Cullman,Alabama,October,6,9
Cullman,Alabama,November,7,3
Cullman,Alabama,December,9,2
DeKalb,Alabama,May,9,13
DeKalb,Alabama,June,9,17
DeKalb,Alabama,July,10,19
DeKalb,Alabama,August,8,19
DeKalb,Alabama,January,9,0
DeKalb,Alabama,February,10,2
DeKalb,Alabama,March,10,5
DeKalb,Alabama,April,8,9
DeKalb,Alabama,septiembre,7,16
DeKalb,Alabama,October,7,10
DeKalb,Alabama,November,7,5
DeKalb,Alabama,December,11,2
Elmore,Alabama,May,7,14
Elmore,Alabama,June,7,18
Elmore,Alabama,July,9,20
Elmore,Alabama,August,7,20
Elmore,Alabama,January,9,1
Elmore,Alabama,February,7,2
Elmore,Alabama,March,8,6
Elmore,Alabama,April,6,9
Elmore,Alabama,septiembre,6,18
Elmore,Alabama,October,4,11
Elmore,Alabama,November,6,7
Elmore,Alabama,December,8,3
Etowah,Alabama,May,8,15
Etowah,Alabama,June,8,19
Etowah,Alabama,July,8,21
Etowah,Alabama,August,7,21
Etowah,Alabama,January,9,-1
Etowah,Alabama,February,8,1
Etowah,Alabama,March,9,5
Etowah,Alabama,April,8,10
Etowah,Alabama,septiembre,6,17
Etowah,Alabama,October,5,11
Etowah,Alabama,November,7,5
Etowah,Alabama,December,9,1
Houston,Alabama,May,5,18
Houston,Alabama,June,9,22
Houston,Alabama,July,10,23
Houston,Alabama,August,9,22
Houston,Alabama,January,6,5
Houston,Alabama,February,7,7
Houston,Alabama,March,6,10
Houston,Alabama,April,5,13
Houston,Alabama,septiembre,5,20
Houston,Alabama,October,3,14
Houston,Alabama,November,5,9
Houston,Alabama,December,8,6
Jefferson,Alabama,May,7,14
Jefferson,Alabama,June,8,18
Jefferson,Alabama,July,9,20
Jefferson,Alabama,August,7,20
Jefferson,Alabama,January,8,-1
Jefferson,Alabama,February,8,1
Jefferson,Alabama,March,9,5
Jefferson,Alabama,April,7,9
Jefferson,Alabama,septiembre,5,16
Jefferson,Alabama,October,5,10
Jefferson,Alabama,November,7,4
Jefferson,Alabama,December,8,1
Lauderdale,Alabama,May,8,14
Lauderdale,Alabama,June,7,19
Lauderdale,Alabama,July,8,20
Lauderdale,Alabama,August,7,20
Lauderdale,Alabama,January,7,-1
Lauderdale,Alabama,February,9,2
Lauderdale,Alabama,March,9,5
Lauderdale,Alabama,April,7,10
Lauderdale,Alabama,septiembre,5,17
Lauderdale,Alabama,October,6,10
Lauderdale,Alabama,November,6,4
Lauderdale,Alabama,December,9,2
Lee,Alabama,May,7,17
Lee,Alabama,June,9,20
Lee,Alabama,July,9,22
Lee,Alabama,August,8,22
Lee,Alabama,January,8,3
Lee,Alabama,February,7,5
Lee,Alabama,March,8,8
Lee,Alabama,April,6,12
Lee,Alabama,septiembre,6,19
Lee,Alabama,October,4,13
Lee,Alabama,November,6,8
Lee,Alabama,December,9,5
Limestone,Alabama,May,8,14
Limestone,Alabama,June,9,19
Limestone,Alabama,July,8,21
Limestone,Alabama,August,6,20
Limestone,Alabama,January,8,-1
Limestone,Alabama,February,9,1
Limestone,Alabama,March,8,5
Limestone,Alabama,April,8,10
Limestone,Alabama,septiembre,6,17
Limestone,Alabama,October,6,10
Limestone,Alabama,November,7,4
Limestone,Alabama,December,9,1
Madison,Alabama,May,9,13
Madison,Alabama,June,7,18
Madison,Alabama,July,8,19
Madison,Alabama,August,8,19
Madison,Alabama,January,8,-1
Madison,Alabama,February,8,1
Madison,Alabama,March,9,4
Madison,Alabama,April,8,9
Madison,Alabama,septiembre,5,15
Madison,Alabama,October,5,9
Madison,Alabama,November,5,3
Madison,Alabama,December,8,1
Marshall,Alabama,May,8,16
Marshall,Alabama,June,8,20
Marshall,Alabama,July,8,22
Marshall,Alabama,August,6,22
Marshall,Alabama,January,8,0
Marshall,Alabama,February,8,2
Marshall,Alabama,March,9,6
Marshall,Alabama,April,7,11
Marshall,Alabama,septiembre,5,18
Marshall,Alabama,October,5,12
Marshall,Alabama,November,7,6
Marshall,Alabama,December,8,2
Mobile,Alabama,May,7,18
Mobile,Alabama,June,9,21
Mobile,Alabama,July,12,23
Mobile,Alabama,August,11,23
Mobile,Alabama,January,8,5
Mobile,Alabama,February,6,6
Mobile,Alabama,March,7,10
Mobile,Alabama,April,6,13
Mobile,Alabama,septiembre,7,20
Mobile,Alabama,October,4,14
Mobile,Alabama,November,6,9
Mobile,Alabama,December,7,6
Montgomery,Alabama,May,6,16
Montgomery,Alabama,June,8,20
Montgomery,Alabama,July,9,22
Montgomery,Alabama,August,7,22
Montgomery,Alabama,January,7,3
Montgomery,Alabama,February,7,5
Montgomery,Alabama,March,6,8
Montgomery,Alabama,April,6,12
Montgomery,Alabama,septiembre,5,19
Montgomery,Alabama,October,4,12
Montgomery,Alabama,November,5,6
Montgomery,Alabama,December,7,4
Morgan,Alabama,May,8,12
Morgan,Alabama,June,7,17
Morgan,Alabama,July,7,19
Morgan,Alabama,August,7,18
Morgan,Alabama,January,9,-2
Morgan,Alabama,February,7,-1
Morgan,Alabama,March,9,4
Morgan,Alabama,April,7,8
Morgan,Alabama,septiembre,6,15
Morgan,Alabama,October,6,8
Morgan,Alabama,November,7,3
Morgan,Alabama,December,8,-1
St Clair,Alabama,May,8,14
St Clair,Alabama,June,8,19
St Clair,Alabama,July,8,21
St Clair,Alabama,August,7,20
St Clair,Alabama,January,7,-1
St Clair,Alabama,February,8,2
St Clair,Alabama,March,9,5
St Clair,Alabama,April,7,9
St Clair,Alabama,septiembre,6,17
St Clair,Alabama,October,5,10
St Clair,Alabama,November,6,3
St Clair,Alabama,December,9,2
Shelby,Alabama,May,8,16
Shelby,Alabama,June,9,20
Shelby,Alabama,July,9,22
Shelby,Alabama,August,8,21
Shelby,Alabama,January,7,1
Shelby,Alabama,February,8,3
Shelby,Alabama,March,9,7
Shelby,Alabama,April,7,11
Shelby,Alabama,septiembre,5,18
Shelby,Alabama,October,5,12
Shelby,Alabama,November,6,5
Shelby,Alabama,December,8,3
Talladega,Alabama,May,7,13
Talladega,Alabama,June,8,18
Talladega,Alabama,July,8,20
Talladega,Alabama,August,7,19
Talladega,Alabama,January,8,-1
Talladega,Alabama,February,7,1
Talladega,Alabama,March,8,5
Talladega,Alabama,April,7,8
Talladega,Alabama,septiembre,5,16
Talladega,Alabama,October,4,9
Talladega,Alabama,November,6,4
Talladega,Alabama,December,8,1
Tuscaloosa,Alabama,May,7,13
Tuscaloosa,Alabama,June,8,18
Tuscaloosa,Alabama,July,9,20
Tuscaloosa,Alabama,August,7,20
Tuscaloosa,Alabama,January,9,-1
Tuscaloosa,Alabama,February,8,1
Tuscaloosa,Alabama,March,9,4
Tuscaloosa,Alabama,April,7,9
Tuscaloosa,Alabama,septiembre,6,16
Tuscaloosa,Alabama,October,5,10
Tuscaloosa,Alabama,November,7,4
Tuscaloosa,Alabama,December,8,1
Walker,Alabama,May,8,13
Walker,Alabama,June,8,18
Walker,Alabama,July,9,20
Walker,Alabama,August,7,19
Walker,Alabama,January,8,-2
Walker,Alabama,February,8,0
Walker,Alabama,March,9,4
Walker,Alabama,April,7,8
Walker,Alabama,septiembre,6,16
Walker,Alabama,October,5,9
Walker,Alabama,November,7,3
Walker,Alabama,December,8,0
Cochise,Arizona,May,2,8
Cochise,Arizona,June,3,13
Cochise,Arizona,July,8,16
Cochise,Arizona,August,8,15
Cochise,Arizona,January,5,-4
Cochise,Arizona,February,4,-2
Cochise,Arizona,March,3,0
Cochise,Arizona,April,2,3
Cochise,Arizona,septiembre,4,12
Cochise,Arizona,October,2,6
Cochise,Arizona,November,3,0
Cochise,Arizona,December,4,-4
Pinal,Arizona,May,1,17
Pinal,Arizona,June,1,22
Pinal,Arizona,July,4,25
Pinal,Arizona,August,6,25
Pinal,Arizona,January,4,4
Pinal,Arizona,February,4,6
Pinal,Arizona,March,4,9
Pinal,Arizona,April,2,12
Pinal,Arizona,septiembre,2,22
Pinal,Arizona,October,2,15
Pinal,Arizona,November,3,8
Pinal,Arizona,December,4,4
Yuma,Arizona,May,0,15
Yuma,Arizona,June,0,19
Yuma,Arizona,July,1,25
Yuma,Arizona,August,2,25
Yuma,Arizona,January,3,2
Yuma,Arizona,February,2,4
Yuma,Arizona,March,2,7
Yuma,Arizona,April,0,10
Yuma,Arizona,septiembre,1,21
Yuma,Arizona,October,0,13
Yuma,Arizona,November,0,6
Yuma,Arizona,December,2,2
Benton,Arkansas,May,10,14
Benton,Arkansas,June,7,19
Benton,Arkansas,July,5,21
Benton,Arkansas,August,5,20
Benton,Arkansas,January,4,-2
Benton,Arkansas,February,5,0
Benton,Arkansas,March,7,4
Benton,Arkansas,April,8,9
Benton,Arkansas,septiembre,7,16
Benton,Arkansas,October,6,10
Benton,Arkansas,November,6,4
Benton,Arkansas,December,5,0
Craighead,Arkansas,May,11,15
Craighead,Arkansas,June,5,20
Craighead,Arkansas,July,7,22
Craighead,Arkansas,August,5,21
Craighead,Arkansas,January,7,-2
Craighead,Arkansas,February,6,1
Craighead,Arkansas,March,11,5
Craighead,Arkansas,April,10,10
Craighead,Arkansas,septiembre,4,17
Craighead,Arkansas,October,7,10
Craighead,Arkansas,November,7,5
Craighead,Arkansas,December,9,0
Faulkner,Arkansas,May,7,15
Faulkner,Arkansas,June,6,19
Faulkner,Arkansas,July,6,22
Faulkner,Arkansas,August,5,21
Faulkner,Arkansas,January,7,-2
Faulkner,Arkansas,February,6,0
Faulkner,Arkansas,March,8,5
Faulkner,Arkansas,April,7,10
Faulkner,Arkansas,septiembre,6,17
Faulkner,Arkansas,October,5,10
Faulkner,Arkansas,November,6,5
Faulkner,Arkansas,December,7,0
Garland,Arkansas,May,8,13
Garland,Arkansas,June,7,17
Garland,Arkansas,July,6,19
Garland,Arkansas,August,5,19
Garland,Arkansas,January,6,-3
Garland,Arkansas,February,6,-1
Garland,Arkansas,March,8,3
Garland,Arkansas,April,7,7
Garland,Arkansas,septiembre,6,15
Garland,Arkansas,October,6,8
Garland,Arkansas,November,7,3
Garland,Arkansas,December,7,-1
Jefferson,Arkansas,May,8,17
Jefferson,Arkansas,June,6,21
Jefferson,Arkansas,July,6,23
Jefferson,Arkansas,August,5,22
Jefferson,Arkansas,January,7,1
Jefferson,Arkansas,February,6,3
Jefferson,Arkansas,March,8,8
Jefferson,Arkansas,April,7,12
Jefferson,Arkansas,septiembre,5,18
Jefferson,Arkansas,October,5,12
Jefferson,Arkansas,November,6,7
Jefferson,Arkansas,December,7,3
Lonoke,Arkansas,May,8,16
Lonoke,Arkansas,June,6,20
Lonoke,Arkansas,July,6,22
Lonoke,Arkansas,August,4,21
Lonoke,Arkansas,January,6,0
Lonoke,Arkansas,February,7,2
Lonoke,Arkansas,March,8,6
Lonoke,Arkansas,April,7,11
Lonoke,Arkansas,septiembre,5,17
Lonoke,Arkansas,October,5,11
Lonoke,Arkansas,November,6,6
Lonoke,Arkansas,December,7,2
Pulaski,Arkansas,May,8,16
Pulaski,Arkansas,June,6,20
Pulaski,Arkansas,July,6,23
Pulaski,Arkansas,August,5,22
Pulaski,Arkansas,January,6,0
Pulaski,Arkansas,February,6,2
Pulaski,Arkansas,March,8,6
Pulaski,Arkansas,April,7,11
Pulaski,Arkansas,septiembre,5,18
Pulaski,Arkansas,October,6,11
Pulaski,Arkansas,November,6,6
Pulaski,Arkansas,December,7,1
Saline,Arkansas,May,7,15
Saline,Arkansas,June,6,19
Saline,Arkansas,July,5,21
Saline,Arkansas,August,4,20
Saline,Arkansas,January,6,-1
Saline,Arkansas,February,5,1
Saline,Arkansas,March,7,5
Saline,Arkansas,April,6,10
Saline,Arkansas,septiembre,5,16
Saline,Arkansas,October,5,10
Saline,Arkansas,November,6,5
Saline,Arkansas,December,6,0
Sebastian,Arkansas,May,7,14
Sebastian,Arkansas,June,6,19
Sebastian,Arkansas,July,4,21
Sebastian,Arkansas,August,4,20
Sebastian,Arkansas,January,4,-3
Sebastian,Arkansas,February,4,-1
Sebastian,Arkansas,March,6,4
Sebastian,Arkansas,April,6,8
Sebastian,Arkansas,septiembre,5,16
Sebastian,Arkansas,October,5,9
Sebastian,Arkansas,November,5,3
Sebastian,Arkansas,December,5,-1
Washington,Arkansas,May,9,12
Washington,Arkansas,June,7,17
Washington,Arkansas,July,5,19
Washington,Arkansas,August,5,18
Washington,Arkansas,January,5,-5
Washington,Arkansas,February,5,-2
Washington,Arkansas,March,8,2
Washington,Arkansas,April,8,7
Washington,Arkansas,septiembre,6,14
Washington,Arkansas,October,6,7
Washington,Arkansas,November,6,2
Washington,Arkansas,December,6,-3
White,Arkansas,May,8,15
White,Arkansas,June,6,19
White,Arkansas,July,6,21
White,Arkansas,August,5,20
White,Arkansas,January,7,-2
White,Arkansas,February,6,0
White,Arkansas,March,8,5
White,Arkansas,April,7,10
White,Arkansas,septiembre,5,17
White,Arkansas,October,6,10
White,Arkansas,November,7,4
White,Arkansas,December,7,0
Alameda,California,May,3,9
Alameda,California,June,0,11
Alameda,California,July,0,13
Alameda,California,August,0,12
Alameda,California,January,10,3
Alameda,California,February,10,4
Alameda,California,March,9,5
Alameda,California,April,6,6
Alameda,California,septiembre,0,12
Alameda,California,October,2,9
Alameda,California,November,5,5
Alameda,California,December,11,3
Butte,California,May,3,9
Butte,California,June,2,12
Butte,California,July,0,14
Butte,California,August,0,13
Butte,California,January,8,1
Butte,California,February,8,3
Butte,California,March,8,4
Butte,California,April,4,6
Butte,California,septiembre,0,11
Butte,California,October,3,7
Butte,California,November,6,3
Butte,California,December,9,1
Contra Costa,California,May,2,14
Contra Costa,California,June,0,19
Contra Costa,California,July,0,24
Contra Costa,California,August,0,23
Contra Costa,California,January,9,8
Contra Costa,California,February,8,8
Contra Costa,California,March,8,9
Contra Costa,California,April,4,9
Contra Costa,California,septiembre,0,21
Contra Costa,California,October,2,15
Contra Costa,California,November,6,11
Contra Costa,California,December,8,8
El Dorado,California,May,4,3
El Dorado,California,June,2,7
El Dorado,California,July,0,10
El Dorado,California,August,0,10
El Dorado,California,January,10,-2
El Dorado,California,February,9,-3
El Dorado,California,March,11,-1
El Dorado,California,April,7,0
El Dorado,California,septiembre,2,8
El Dorado,California,October,4,3
El Dorado,California,November,8,-1
El Dorado,California,December,10,-3
Fresno,California,May,2,13
Fresno,California,June,0,19
Fresno,California,July,0,22
Fresno,California,August,0,22
Fresno,California,January,7,6
Fresno,California,February,8,5
Fresno,California,March,8,7
Fresno,California,April,5,8
Fresno,California,septiembre,1,19
Fresno,California,October,2,14
Fresno,California,November,4,9
Fresno,California,December,6,6
Humboldt,California,May,5,8
Humboldt,California,June,2,10
Humboldt,California,July,0,13
Humboldt,California,August,2,13
Humboldt,California,January,12,7
Humboldt,California,February,11,6
Humboldt,California,March,13,6
Humboldt,California,April,9,6
Humboldt,California,septiembre,2,13
Humboldt,California,October,5,10
Humboldt,California,November,11,8
Humboldt,California,December,13,7
Imperial,California,May,0,15
Imperial,California,June,0,19
Imperial,California,July,0,24
Imperial,California,August,0,24
Imperial,California,January,2,4
Imperial,California,February,2,6
Imperial,California,March,2,9
Imperial,California,April,0,11
Imperial,California,septiembre,0,21
Imperial,California,October,0,15
Imperial,California,November,0,8
Imperial,California,December,2,4
Kings,California,May,2,13
Kings,California,June,0,17
Kings,California,July,0,20
Kings,California,August,0,19
Kings,California,January,4,2
Kings,California,February,4,4
Kings,California,March,4,6
Kings,California,April,4,8
Kings,California,septiembre,1,16
Kings,California,October,2,10
Kings,California,November,4,5
Kings,California,December,6,2
Lake,California,May,2,7
Lake,California,June,0,10
Lake,California,July,0,13
Lake,California,August,0,12
Lake,California,January,9,0
Lake,California,February,8,2
Lake,California,March,7,3
Lake,California,April,4,4
Lake,California,septiembre,2,10
Lake,California,October,3,6
Lake,California,November,7,3
Lake,California,December,8,0
Los Angeles,California,May,1,15
Los Angeles,California,June,1,17
Los Angeles,California,July,0,18
Los Angeles,California,August,0,19
Los Angeles,California,January,6,10
Los Angeles,California,February,6,10
Los Angeles,California,March,5,11
Los Angeles,California,April,3,13
Los Angeles,California,septiembre,1,18
Los Angeles,California,October,2,16
Los Angeles,California,November,3,12
Los Angeles,California,December,5,9
Madera,California,May,2,7
Madera,California,June,1,11
Madera,California,July,0,14
Madera,California,August,0,14
Madera,California,January,6,-1
Madera,California,February,7,0
Madera,California,March,8,2
Madera,California,April,5,3
Madera,California,septiembre,2,11
Madera,California,October,3,6
Madera,California,November,4,2
Madera,California,December,6,-1
Marin,California,May,2,8
Marin,California,June,2,10
Marin,California,July,0,11
Marin,California,August,0,11
Marin,California,January,8,6
Marin,California,February,7,6
Marin,California,March,9,7
Marin,California,April,5,7
Marin,California,septiembre,0,12
Marin,California,October,4,11
Marin,California,November,6,8
Marin,California,December,9,6
Mendocino,California,May,4,8
Mendocino,California,June,2,10
Mendocino,California,July,0,14
Mendocino,California,August,0,14
Mendocino,California,January,12,4
Mendocino,California,February,11,3
Mendocino,California,March,12,4
Mendocino,California,April,7,5
Mendocino,California,septiembre,2,13
Mendocino,California,October,5,9
Mendocino,California,November,10,6
Mendocino,California,December,13,3
Merced,California,May,2,10
Merced,California,June,0,13
Merced,California,July,0,15
Merced,California,August,0,14
Merced,California,January,5,3
Merced,California,February,6,4
Merced,California,March,5,7
Merced,California,April,3,8
Merced,California,septiembre,0,12
Merced,California,October,3,9
Merced,California,November,3,5
Merced,California,December,5,3
Monterey,California,May,0,7
Monterey,California,June,0,9
Monterey,California,July,0,11
Monterey,California,August,0,11
Monterey,California,January,6,3
Monterey,California,February,5,4
Monterey,California,March,7,5
Monterey,California,April,3,5
Monterey,California,septiembre,0,10
Monterey,California,October,3,8
Monterey,California,November,3,5
Monterey,California,December,5,3
Napa,California,May,2,9
Napa,California,June,0,12
Napa,California,July,0,14
Napa,California,August,0,13
Napa,California,January,8,2
Napa,California,February,8,3
Napa,California,March,7,4
Napa,California,April,4,6
Napa,California,septiembre,1,11
Napa,California,October,2,8
Napa,California,November,6,5
Napa,California,December,8,2
Nevada,California,May,4,9
Nevada,California,June,3,13
Nevada,California,July,0,15
Nevada,California,August,0,15
Nevada,California,January,10,2
Nevada,California,February,9,3
Nevada,California,March,10,4
Nevada,California,April,6,6
Nevada,California,septiembre,2,12
Nevada,California,October,4,8
Nevada,California,November,8,4
Nevada,California,December,10,2
Orange,California,May,0,13
Orange,California,June,0,15
Orange,California,July,0,17
Orange,California,August,0,18
Orange,California,January,5,7
Orange,California,February,5,8
Orange,California,March,5,9
Orange,California,April,2,11
