state_name,county,Substate,mental_illness_percentage
Alabama,Cherokee,Region 1,19.95%
Alabama,Colbert,Region 1,19.95%
Alabama,Cullman,Region 1,19.95%
Alabama,De Kalb,Region 1,19.95%
Alabama,Etowah,Region 1,19.95%
Alabama,Fayette,Region 1,19.95%
Alabama,Franklin,Region 1,19.95%
Alabama,Jackson,Region 1,19.95%
Alabama,Lamar,Region 1,19.95%
Alabama,Lauderdale,Region 1,19.95%
Alabama,Lawrence,Region 1,19.95%
Alabama,Limestone,Region 1,19.95%
Alabama,Madison,Region 1,19.95%
Alabama,Marion,Region 1,19.95%
Alabama,Marshall,Region 1,19.95%
Alabama,Morgan,Region 1,19.95%
Alabama,Walker,Region 1,19.95%
Alabama,Winston,Region 1,19.95%
Alabama,Bibb,Region 2,21.33%
Alabama,Blount,Region 2,21.33%
Alabama,Calhoun,Region 2,21.33%
Alabama,Chilton,Region 2,21.33%
Alabama,Clay,Region 2,21.33%
Alabama,Cleburne,Region 2,21.33%
Alabama,Coosa,Region 2,21.33%
Alabama,Jefferson,Region 2,21.33%
Alabama,Pickens,Region 2,21.33%
Alabama,Randolph,Region 2,21.33%
Alabama,Shelby,Region 2,21.33%
Alabama,ST CLAIR,Region 2,21.33%
Alabama,Talladega,Region 2,21.33%
Alabama,Tuscaloosa,Region 2,21.33%
Alabama,Autauga,Region 3,20.87%
Alabama,Bullock,Region 3,20.87%
Alabama,Chambers,Region 3,20.87%
Alabama,Choctaw,Region 3,20.87%
Alabama,Dallas,Region 3,20.87%
Alabama,Elmore,Region 3,20.87%
Alabama,Greene,Region 3,20.87%
Alabama,Hale,Region 3,20.87%
Alabama,Lee,Region 3,20.87%
Alabama,Lowndes,Region 3,20.87%
Alabama,Macon,Region 3,20.87%
Alabama,Marengo,Region 3,20.87%
Alabama,Montgomery,Region 3,20.87%
Alabama,Perry,Region 3,20.87%
Alabama,Pike,Region 3,20.87%
Alabama,Russell,Region 3,20.87%
Alabama,Sumter,Region 3,20.87%
Alabama,Tallapoosa,Region 3,20.87%
Alabama,Wilcox,Region 3,20.87%
Alabama,Baldwin,Region 4,20.51%
Alabama,Barbour,Region 4,20.51%
Alabama,Butler,Region 4,20.51%
Alabama,Clarke,Region 4,20.51%
Alabama,Coffee,Region 4,20.51%
Alabama,Conecuh,Region 4,20.51%
Alabama,Covington,Region 4,20.51%
Alabama,Crenshaw,Region 4,20.51%
Alabama,Dale,Region 4,20.51%
Alabama,Escambia,Region 4,20.51%
Alabama,Geneva,Region 4,20.51%
Alabama,Henry,Region 4,20.51%
Alabama,Houston,Region 4,20.51%
Alabama,Mobile,Region 4,20.51%
Alabama,Monroe,Region 4,20.51%
Alabama,Washington,Region 4,20.51%
Arizona,Maricopa,Central,18.34%
Arizona,Apache,North,18.26%
Arizona,Coconino,North,18.26%
Arizona,Gila,North,18.26%
Arizona,Mohave,North,18.26%
Arizona,Navajo,North,18.26%
Arizona,Yavapai,North,18.26%
Arizona,Pima,South A,19.62%
Arizona,Cochise,South B,18.08%
Arizona,Graham,South B,18.08%
Arizona,Greenlee,South B,18.08%
Arizona,La Paz,South B,18.08%
Arizona,Pinal,South B,18.08%
Arizona,Santa Cruz,South B,18.08%
Arizona,Yuma,South B,18.08%
Arkansas,Benton,Catchment Area 1,20.73%
Arkansas,Carroll,Catchment Area 1,20.73%
Arkansas,Madison,Catchment Area 1,20.73%
Arkansas,Washington,Catchment Area 1,20.73%
Arkansas,Baxter,Catchment Area 2,20.75%
Arkansas,Boone,Catchment Area 2,20.75%
Arkansas,Cleburne,Catchment Area 2,20.75%
Arkansas,Fulton,Catchment Area 2,20.75%
Arkansas,Independence,Catchment Area 2,20.75%
Arkansas,Izard,Catchment Area 2,20.75%
Arkansas,Jackson,Catchment Area 2,20.75%
Arkansas,Marion,Catchment Area 2,20.75%
Arkansas,Newton,Catchment Area 2,20.75%
Arkansas,Searcy,Catchment Area 2,20.75%
Arkansas,Sharp,Catchment Area 2,20.75%
Arkansas,Stone,Catchment Area 2,20.75%
Arkansas,Van Buren,Catchment Area 2,20.75%
Arkansas,White,Catchment Area 2,20.75%
Arkansas,Woodruff,Catchment Area 2,20.75%
Arkansas,Clay,Catchment Area 3,21.18%
Arkansas,Craighead,Catchment Area 3,21.18%
Arkansas,Crittenden,Catchment Area 3,21.18%
Arkansas,Cross,Catchment Area 3,21.18%
Arkansas,Greene,Catchment Area 3,21.18%
Arkansas,Lawrence,Catchment Area 3,21.18%
Arkansas,Lee,Catchment Area 3,21.18%
Arkansas,Mississippi,Catchment Area 3,21.18%
Arkansas,Monroe,Catchment Area 3,21.18%
Arkansas,Phillips,Catchment Area 3,21.18%
Arkansas,Poinsett,Catchment Area 3,21.18%
Arkansas,Randolph,Catchment Area 3,21.18%
Arkansas,St. Francis,Catchment Area 3,21.18%
Arkansas,Crawford,Catchment Area 4,21.46%
Arkansas,Franklin,Catchment Area 4,21.46%
Arkansas,Logan,Catchment Area 4,21.46%
Arkansas,Polk,Catchment Area 4,21.46%
Arkansas,Scott,Catchment Area 4,21.46%
Arkansas,Sebastian,Catchment Area 4,21.46%
Arkansas,Clark,Catchment Area 5,21.53%
Arkansas,Conway,Catchment Area 5,21.53%
Arkansas,Faulkner,Catchment Area 5,21.53%
Arkansas,Garland,Catchment Area 5,21.53%
Arkansas,Hot Spring,Catchment Area 5,21.53%
Arkansas,Johnson,Catchment Area 5,21.53%
Arkansas,Montgomery,Catchment Area 5,21.53%
Arkansas,Perry,Catchment Area 5,21.53%
Arkansas,Pike,Catchment Area 5,21.53%
Arkansas,Pope,Catchment Area 5,21.53%
