state_name,county,Substate,mental_illness_percentage
Alabama,Cherokee,Region 1,0.1995
Alabama,Colbert,Region 1,0.1995
Alabama,Cullman,Region 1,0.1995
Alabama,De Kalb,Region 1,0.1995
Alabama,Etowah,Region 1,0.1995
Alabama,Fayette,Region 1,0.1995
Alabama,Franklin,Region 1,0.1995
Alabama,Jackson,Region 1,0.1995
Alabama,Lamar,Region 1,0.1995
Alabama,Lauderdale,Region 1,0.1995
Alabama,Lawrence,Region 1,0.1995
Alabama,Limestone,Region 1,0.1995
Alabama,Madison,Region 1,0.1995
Alabama,Marion,Region 1,0.1995
Alabama,Marshall,Region 1,0.1995
Alabama,Morgan,Region 1,0.1995
Alabama,Walker,Region 1,0.1995
Alabama,Winston,Region 1,0.1995
Alabama,Bibb,Region 2,0.2133
Alabama,Blount,Region 2,0.2133
Alabama,Calhoun,Region 2,0.2133
Alabama,Chilton,Region 2,0.2133
Alabama,Clay,Region 2,0.2133
Alabama,Cleburne,Region 2,0.2133
Alabama,Coosa,Region 2,0.2133
Alabama,Jefferson,Region 2,0.2133
Alabama,Pickens,Region 2,0.2133
Alabama,Randolph,Region 2,0.2133
Alabama,Shelby,Region 2,0.2133
Alabama,ST CLAIR,Region 2,0.2133
Alabama,Talladega,Region 2,0.2133
Alabama,Tuscaloosa,Region 2,0.2133
Alabama,Autauga,Region 3,0.2087
Alabama,Bullock,Region 3,0.2087
Alabama,Chambers,Region 3,0.2087
Alabama,Choctaw,Region 3,0.2087
Alabama,Dallas,Region 3,0.2087
Alabama,Elmore,Region 3,0.2087
Alabama,Greene,Region 3,0.2087
Alabama,Hale,Region 3,0.2087
Alabama,Lee,Region 3,0.2087
Alabama,Lowndes,Region 3,0.2087
Alabama,Macon,Region 3,0.2087
Alabama,Marengo,Region 3,0.2087
Alabama,Montgomery,Region 3,0.2087
Alabama,Perry,Region 3,0.2087
Alabama,Pike,Region 3,0.2087
Alabama,Russell,Region 3,0.2087
Alabama,Sumter,Region 3,0.2087
Alabama,Tallapoosa,Region 3,0.2087
Alabama,Wilcox,Region 3,0.2087
Alabama,Baldwin,Region 4,0.2051
Alabama,Barbour,Region 4,0.2051
Alabama,Butler,Region 4,0.2051
Alabama,Clarke,Region 4,0.2051
Alabama,Coffee,Region 4,0.2051
Alabama,Conecuh,Region 4,0.2051
Alabama,Covington,Region 4,0.2051
Alabama,Crenshaw,Region 4,0.2051
Alabama,Dale,Region 4,0.2051
Alabama,Escambia,Region 4,0.2051
Alabama,Geneva,Region 4,0.2051
Alabama,Henry,Region 4,0.2051
Alabama,Houston,Region 4,0.2051
Alabama,Mobile,Region 4,0.2051
Alabama,Monroe,Region 4,0.2051
Alabama,Washington,Region 4,0.2051
Arizona,Maricopa,Central,0.1834
Arizona,Apache,North,0.1826
Arizona,Coconino,North,0.1826
Arizona,Gila,North,0.1826
Arizona,Mohave,North,0.1826
Arizona,Navajo,North,0.1826
Arizona,Yavapai,North,0.1826
Arizona,Pima,South A,0.1962
Arizona,Cochise,South B,0.1808
Arizona,Graham,South B,0.1808
Arizona,Greenlee,South B,0.1808
Arizona,La Paz,South B,0.1808
Arizona,Pinal,South B,0.1808
Arizona,Santa Cruz,South B,0.1808
Arizona,Yuma,South B,0.1808
Arkansas,Benton,Catchment Area 1,0.2073
Arkansas,Carroll,Catchment Area 1,0.2073
Arkansas,Madison,Catchment Area 1,0.2073
Arkansas,Washington,Catchment Area 1,0.2073
Arkansas,Baxter,Catchment Area 2,0.2075
Arkansas,Boone,Catchment Area 2,0.2075
Arkansas,Cleburne,Catchment Area 2,0.2075
Arkansas,Fulton,Catchment Area 2,0.2075
Arkansas,Independence,Catchment Area 2,0.2075
Arkansas,Izard,Catchment Area 2,0.2075
Arkansas,Jackson,Catchment Area 2,0.2075
Arkansas,Marion,Catchment Area 2,0.2075
Arkansas,Newton,Catchment Area 2,0.2075
Arkansas,Searcy,Catchment Area 2,0.2075
Arkansas,Sharp,Catchment Area 2,0.2075
Arkansas,Stone,Catchment Area 2,0.2075
Arkansas,Van Buren,Catchment Area 2,0.2075
Arkansas,White,Catchment Area 2,0.2075
Arkansas,Woodruff,Catchment Area 2,0.2075
Arkansas,Clay,Catchment Area 3,0.2118
Arkansas,Craighead,Catchment Area 3,0.2118
Arkansas,Crittenden,Catchment Area 3,0.2118
Arkansas,Cross,Catchment Area 3,0.2118
Arkansas,Greene,Catchment Area 3,0.2118
Arkansas,Lawrence,Catchment Area 3,0.2118
Arkansas,Lee,Catchment Area 3,0.2118
Arkansas,Mississippi,Catchment Area 3,0.2118
Arkansas,Monroe,Catchment Area 3,0.2118
Arkansas,Phillips,Catchment Area 3,0.2118
Arkansas,Poinsett,Catchment Area 3,0.2118
Arkansas,Randolph,Catchment Area 3,0.2118
Arkansas,St. Francis,Catchment Area 3,0.2118
Arkansas,Crawford,Catchment Area 4,0.2146
Arkansas,Franklin,Catchment Area 4,0.2146
Arkansas,Logan,Catchment Area 4,0.2146
Arkansas,Polk,Catchment Area 4,0.2146
Arkansas,Scott,Catchment Area 4,0.2146
