,Unnamed: 0,county,state_name,state_abbrev,zipcode
0,0,Baldwin,Alabama,AL,36507
1,0,Baldwin,Alabama,AL,36511
2,0,Baldwin,Alabama,AL,36526
3,0,Baldwin,Alabama,AL,36527
4,0,Baldwin,Alabama,AL,36530
5,0,Baldwin,Alabama,AL,36532
6,0,Baldwin,Alabama,AL,36533
7,0,Baldwin,Alabama,AL,36535
8,0,Baldwin,Alabama,AL,36536
9,0,Baldwin,Alabama,AL,36542
10,0,Baldwin,Alabama,AL,36547
11,0,Baldwin,Alabama,AL,36549
12,0,Baldwin,Alabama,AL,36550
13,0,Baldwin,Alabama,AL,36551
14,0,Baldwin,Alabama,AL,36555
15,0,Baldwin,Alabama,AL,36559
16,0,Baldwin,Alabama,AL,36561
17,0,Baldwin,Alabama,AL,36562
18,0,Baldwin,Alabama,AL,36564
19,0,Baldwin,Alabama,AL,36567
20,0,Baldwin,Alabama,AL,36574
21,0,Baldwin,Alabama,AL,36576
22,0,Baldwin,Alabama,AL,36577
23,0,Baldwin,Alabama,AL,36578
24,0,Baldwin,Alabama,AL,36579
25,0,Baldwin,Alabama,AL,36580
26,1,Calhoun,Alabama,AL,36201
27,1,Calhoun,Alabama,AL,36202
28,1,Calhoun,Alabama,AL,36203
29,1,Calhoun,Alabama,AL,36204
30,1,Calhoun,Alabama,AL,36205
31,1,Calhoun,Alabama,AL,36206
32,1,Calhoun,Alabama,AL,36207
33,1,Calhoun,Alabama,AL,36210
34,1,Calhoun,Alabama,AL,36250
35,1,Calhoun,Alabama,AL,36253
36,1,Calhoun,Alabama,AL,36254
37,1,Calhoun,Alabama,AL,36257
38,1,Calhoun,Alabama,AL,36260
39,1,Calhoun,Alabama,AL,36265
40,1,Calhoun,Alabama,AL,36271
41,1,Calhoun,Alabama,AL,36272
42,1,Calhoun,Alabama,AL,36277
43,1,Calhoun,Alabama,AL,36279
44,2,Cullman,Alabama,AL,35019
45,2,Cullman,Alabama,AL,35033
46,2,Cullman,Alabama,AL,35053
47,2,Cullman,Alabama,AL,35055
48,2,Cullman,Alabama,AL,35056
49,2,Cullman,Alabama,AL,35057
50,2,Cullman,Alabama,AL,35058
51,2,Cullman,Alabama,AL,35070
52,2,Cullman,Alabama,AL,35077
53,2,Cullman,Alabama,AL,35083
54,2,Cullman,Alabama,AL,35087
55,2,Cullman,Alabama,AL,35098
56,2,Cullman,Alabama,AL,35179
57,3,DeKalb,Alabama,AL,35961
58,3,DeKalb,Alabama,AL,35962
59,3,DeKalb,Alabama,AL,35963
60,3,DeKalb,Alabama,AL,35967
61,3,DeKalb,Alabama,AL,35968
62,3,DeKalb,Alabama,AL,35971
63,3,DeKalb,Alabama,AL,35974
64,3,DeKalb,Alabama,AL,35975
65,3,DeKalb,Alabama,AL,35978
66,3,DeKalb,Alabama,AL,35981
67,3,DeKalb,Alabama,AL,35984
68,3,DeKalb,Alabama,AL,35986
69,3,DeKalb,Alabama,AL,35988
70,3,DeKalb,Alabama,AL,35989
71,4,Elmore,Alabama,AL,36020
72,4,Elmore,Alabama,AL,36022
73,4,Elmore,Alabama,AL,36024
74,4,Elmore,Alabama,AL,36025
75,4,Elmore,Alabama,AL,36045
76,4,Elmore,Alabama,AL,36054
77,4,Elmore,Alabama,AL,36078
78,4,Elmore,Alabama,AL,36080
79,4,Elmore,Alabama,AL,36092
80,4,Elmore,Alabama,AL,36093
81,5,Etowah,Alabama,AL,35901
82,5,Etowah,Alabama,AL,35902
83,5,Etowah,Alabama,AL,35903
84,5,Etowah,Alabama,AL,35904
85,5,Etowah,Alabama,AL,35905
86,5,Etowah,Alabama,AL,35906
87,5,Etowah,Alabama,AL,35907
88,5,Etowah,Alabama,AL,35952
89,5,Etowah,Alabama,AL,35954
90,5,Etowah,Alabama,AL,35956
91,5,Etowah,Alabama,AL,35972
92,5,Etowah,Alabama,AL,35990
93,6,Houston,Alabama,AL,36301
94,6,Houston,Alabama,AL,36302
95,6,Houston,Alabama,AL,36303
96,6,Houston,Alabama,AL,36304
97,6,Houston,Alabama,AL,36305
98,6,Houston,Alabama,AL,36312
99,6,Houston,Alabama,AL,36320
100,6,Houston,Alabama,AL,36321
101,6,Houston,Alabama,AL,36343
102,6,Houston,Alabama,AL,36370
103,6,Houston,Alabama,AL,36376
104,7,Jefferson,Alabama,AL,35005
105,7,Jefferson,Alabama,AL,35006
106,7,Jefferson,Alabama,AL,35015
107,7,Jefferson,Alabama,AL,35020
108,7,Jefferson,Alabama,AL,35021
109,7,Jefferson,Alabama,AL,35022
110,7,Jefferson,Alabama,AL,35023
111,7,Jefferson,Alabama,AL,35036
112,7,Jefferson,Alabama,AL,35041
113,7,Jefferson,Alabama,AL,35048
114,7,Jefferson,Alabama,AL,35060
115,7,Jefferson,Alabama,AL,35061
116,7,Jefferson,Alabama,AL,35062
117,7,Jefferson,Alabama,AL,35064
118,7,Jefferson,Alabama,AL,35068
119,7,Jefferson,Alabama,AL,35071
120,7,Jefferson,Alabama,AL,35073
121,7,Jefferson,Alabama,AL,35091
122,7,Jefferson,Alabama,AL,35094
123,7,Jefferson,Alabama,AL,35116
124,7,Jefferson,Alabama,AL,35117
125,7,Jefferson,Alabama,AL,35118
126,7,Jefferson,Alabama,AL,35119
127,7,Jefferson,Alabama,AL,35123
128,7,Jefferson,Alabama,AL,35126
129,7,Jefferson,Alabama,AL,35127
130,7,Jefferson,Alabama,AL,35139
131,7,Jefferson,Alabama,AL,35142
132,7,Jefferson,Alabama,AL,35173
133,7,Jefferson,Alabama,AL,35180
134,7,Jefferson,Alabama,AL,35181
135,7,Jefferson,Alabama,AL,35201
136,7,Jefferson,Alabama,AL,35202
137,7,Jefferson,Alabama,AL,35203
138,7,Jefferson,Alabama,AL,35204
139,7,Jefferson,Alabama,AL,35205
140,7,Jefferson,Alabama,AL,35206
141,7,Jefferson,Alabama,AL,35207
142,7,Jefferson,Alabama,AL,35208
143,7,Jefferson,Alabama,AL,35209
144,7,Jefferson,Alabama,AL,35210
145,7,Jefferson,Alabama,AL,35211
146,7,Jefferson,Alabama,AL,35212
147,7,Jefferson,Alabama,AL,35213
148,7,Jefferson,Alabama,AL,35214
149,7,Jefferson,Alabama,AL,35215
150,7,Jefferson,Alabama,AL,35216
151,7,Jefferson,Alabama,AL,35217
152,7,Jefferson,Alabama,AL,35218
153,7,Jefferson,Alabama,AL,35219
154,7,Jefferson,Alabama,AL,35220
155,7,Jefferson,Alabama,AL,35221
156,7,Jefferson,Alabama,AL,35222
157,7,Jefferson,Alabama,AL,35223
158,7,Jefferson,Alabama,AL,35224
159,7,Jefferson,Alabama,AL,35225
160,7,Jefferson,Alabama,AL,35226
161,7,Jefferson,Alabama,AL,35228
162,7,Jefferson,Alabama,AL,35229
163,7,Jefferson,Alabama,AL,35230
164,7,Jefferson,Alabama,AL,35231
165,7,Jefferson,Alabama,AL,35232
166,7,Jefferson,Alabama,AL,35233
167,7,Jefferson,Alabama,AL,35234
168,7,Jefferson,Alabama,AL,35235
169,7,Jefferson,Alabama,AL,35236
170,7,Jefferson,Alabama,AL,35237
171,7,Jefferson,Alabama,AL,35238
172,7,Jefferson,Alabama,AL,35240
173,7,Jefferson,Alabama,AL,35243
174,7,Jefferson,Alabama,AL,35244
175,7,Jefferson,Alabama,AL,35245
176,7,Jefferson,Alabama,AL,35246
177,7,Jefferson,Alabama,AL,35249
178,7,Jefferson,Alabama,AL,35253
179,7,Jefferson,Alabama,AL,35254
180,7,Jefferson,Alabama,AL,35255
181,7,Jefferson,Alabama,AL,35259
182,7,Jefferson,Alabama,AL,35260
183,7,Jefferson,Alabama,AL,35261
184,7,Jefferson,Alabama,AL,35263
185,7,Jefferson,Alabama,AL,35266
186,7,Jefferson,Alabama,AL,35277
187,7,Jefferson,Alabama,AL,35278
188,7,Jefferson,Alabama,AL,35279
189,7,Jefferson,Alabama,AL,35280
190,7,Jefferson,Alabama,AL,35281
191,7,Jefferson,Alabama,AL,35282
192,7,Jefferson,Alabama,AL,35283
193,7,Jefferson,Alabama,AL,35285
194,7,Jefferson,Alabama,AL,35286
195,7,Jefferson,Alabama,AL,35287
196,7,Jefferson,Alabama,AL,35288
197,7,Jefferson,Alabama,AL,35289
